"Agency","School","SCHOOLCODE","Address","maxOccupancy","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","Status","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"DCPS","Aiton ES",202,"533 48th Pl  NE",442,NA,"ES",57100,"STABILIZED",8916,12115000,14515000,"Open",-76.933700916,38.897001477,7,"Kelly Miller MS","Woodson HS",262,1,214,42,0.816793893129771,0.16030534351145,0.00381679389312977,217.93893129771,34.030534351145,0.15614711033275
"DCPS","Bancroft ES",204,"1755 Newton St  NW",563,NA,"ES",79792,"STABILIZED",1446450,59943000,66496000,"Open",-77.040553444,38.934318023,1,"Deal MS","Wilson HS",508,279,181,54,0.356299212598425,0.106299212598425,0.549212598425197,157.070866141732,2847.34251968504,18.1277571686385
"DCPS","Barnard ES",205,"430 Decatur St  NW",486,2003,"ES",72496,"FULL REPLACEMENT",17867772,0,17867772,"Open",-77.01777708,38.948230613,4,"Truesdell or West EC (6th-8th)","Roosevelt HS",602,193,284,72,0.471760797342193,0.119601328903654,0.320598006644518,120.425249169435,29680.6843853821,246.465625689693
"DCPS","Beers ES",206,"3600 Alabama Ave  SE",430,2013,"ES",77488,"PARTIAL MOD",14813933,-24188,15123196,"Open",-76.95560475,38.864349505,7,"Sousa MS","Anacostia HS",438,1,243,79,0.554794520547945,0.180365296803653,0.00228310502283105,176.913242009132,33821.7648401827,191.177124199876
"DCPS","Brent ES",212,"301 North Carolina Ave  SE",369,2009,"ES",47500,"PARTIAL MOD",4475354,0,4485194,"Open",-77.00145985,38.884800874,6,"Jefferson Acad. MS","Eastern HS",368,5,23,22,0.0625,0.0597826086956522,0.0135869565217391,129.076086956522,12161.2880434783,94.2179789473684
"DCPS","Brightwood EC",213,"1300 Nicholson St NW",584,2005,"ES/MS",78000,"FULL MOD + ADD",22265461,0,22269148,"Open",-77.030688846,38.960535392,4,"","Coolidge HS",639,379,302,78,0.472613458528951,0.122065727699531,0.593114241001565,122.065727699531,34844.2269170579,285.454628205128
"DCPS","Browne EC",404,"850 26th St  NE",804,NA,"ES/MS",215392,"STABILIZED",131951,20636000,23793129,"Open",-76.970667058,38.902598548,5,"","Eastern HS",353,23,241,56,0.68271954674221,0.158640226628895,0.0651558073654391,610.175637393768,373.798866855524,0.612608639132373
"DCPS","Burroughs ES",220,"1820 Monroe St  NE",450,2013,"ES",69696,"PARTIAL MOD + ADD",8239048,0,8866114,"Open",-76.97845637,38.933502326,5,"Brookland MS","Dunbar HS",297,14,156,53,0.525252525252525,0.178451178451178,0.0471380471380471,234.666666666667,27740.9023569024,118.214072543618
"DCPS","Burrville ES",221,"801 Division Ave  NE",400,2010,"ES",94992,"PARTIAL MOD",2991980,0,2996347,"Open",-76.92445918,38.900565431,7,"Kelly Miller MS","Woodson HS",360,2,244,36,0.677777777777778,0.1,0.00555555555555556,263.866666666667,8311.05555555555,31.4971787097861
"DCPS","C.W. Harris ES",247,"301 53rd St  SE",438,NA,"ES",56000,"STABILIZED",0,12606000,12606000,"Open",-76.926115499,38.883598497,7,"Kelly Miller MS","Woodson HS",291,2,229,40,0.786941580756014,0.13745704467354,0.00687285223367698,192.439862542955,0,0
